Categoria,Marca,Modelo,Motor,Versão,Transmissão Velocidades nº,Ar Cond.,Direção Assistida,Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro,,,,Consumo Energético (MJ/km),Classificação PBE,,Selo CONPET de Eficiência Energética
,,,,,"Manual
(M)

Automática
(A)

Automática
Dupla
Embreagem
(DCT)

Automatizada
(MTA)

Contínua
(CVT)","Sim (S)

Não (N)","Hidráulica (H)

Mecânica (M)

Elétrica (E)

Eletro-
hidráulica (E-H)","Elétrico (E)


Mecânica (M)


Flex (F)


Diesel (D)",Poluentes,,,,Gás Efeito Estufa,,Etanol,,Gasolina/Diesel,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,NMHC(g/km),"CO
(g/km)","NOx
(g/km)",Redução Relativa ao Limite,Etanol,Gasolina/Diesel,Cidade (km/l),Estrada (km/l),Cidade (km/l),Estrada (km/l),,Comparação Relativa na Categoria,Comparação Absoluta Geral,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CO2 fóssil (g/km),CO2 fóssil (g/km),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MICRO COMPACTO,CHERY,New QQ,1.0­12V,"1,0 LOOK",M­5,S,H,F,0,0,0,B,0,98,"8,9","9,9","12,9","14,4","1,59",B,B,­
MICRO COMPACTO,CHERY,New QQ,1.0­12V,"1,0 LOOK PLUS",M­5,S,H,F,0,0,0,B,0,98,"8,9","9,9","12,9","14,4","1,59",B,B,­
MICRO COMPACTO,CHERY,New QQ,1.0­12V,"1,0 SMILE",M­5,S,H,F,0,0,0,B,0,98,"8,9","9,9","12,9","14,4","1,59",B,B,­
MICRO COMPACTO,CHERY,New QQ,1.0­12V,"1,0 SMILE PLUS",M­5,S,H,F,0,0,0,B,0,98,"8,9","9,9","12,9","14,4","1,59",B,B,­
MICRO COMPACTO,CHERY,New QQ,1.0­12V,"1,0 ACT",M­5,S,H,F,0,0,0,B,0,98,"8,9","9,9","12,9","14,4","1,59",B,B,­
MICRO COMPACTO,CHERY,New QQ,1.0­12V,"1,0 ACT PLUS",M­5,S,H,F,0,0,0,B,0,98,"8,9","9,9","12,9","14,4","1,59",B,B,­
MICRO COMPACTO,FIAT,500,1.4­8V,Cult,M­5,S,E,F,0,0,0,A,0,111,"8,0","9,0","11,4","13,0","1,79",D,B,­
MICRO COMPACTO,FIAT,Mobi,1.0­6V,DRIVE,M­5,S,E,F,0,0,0,B,0,90,"9,6","11,3","13,7","16,1","1,45",A,A,SIM
MICRO COMPACTO,FIAT,Mobi,1.0­6V,DRIVE GSR,MTA­5,S,E,F,0,0,0,B,0,89,"9,8","11,1","14,0","15,9","1,43",A,A,SIM
MICRO COMPACTO,FIAT,Mobi,1.0­8V,EASY,M­5,N,H,F,0,0,0,B,0,92,"9,2","10,2","13,5","15,2","1,52",A,B,SIM
MICRO COMPACTO,FIAT,Mobi,1.0­8V,LIKE,M­5,S,H,F,0,0,0,B,0,99,"8,8","9,9","12,7","14,3","1,61",B,B,­
MICRO COMPACTO,FIAT,Mobi,1.0­8V,WAY,M­5,S,H,F,0,0,0,B,0,100,"8,7","9,7","12,6","14,2","1,62",B,B,­
MICRO COMPACTO,KIA,Picanto,1.0­12V,"EX5 1,0 FF MT",M­5,S,E,F,0,0,0,C,0,100,"7,9","10,3","11,6","15,0","1,69",C,B,­
MICRO COMPACTO,KIA,Picanto,1.0­12V,"LX5 1,0 FF MT",M­5,S,E,F,0,0,0,C,0,100,"7,9","10,3","11,6","15,0","1,69",C,B,­
MICRO COMPACTO,KIA,Picanto,1.0­12V,"EX5 1,0 FF AT",A­4,S,E,F,0,0,0,B,0,105,"8,1","9,9","11,4","14,7","1,70",C,B,­
MICRO COMPACTO,KIA,Picanto,1.0­12V,"LX5 1,0 FF AT",A­4,S,E,F,0,0,0,B,0,105,"8,1","9,9","11,4","14,7","1,70",C,B,­
MICRO COMPACTO,RENAULT,Twizy,Elétrico,Intense,A­1,N,M,E,0,0,0,A,\,0,\,\,"45,8","43,0","0,39",A,A,SIM
MICRO COMPACTO,VOLKSWAGEN,up!,1.0­12V,take,M­5,S,E,F,0,0,0,B,0,89,"9,6","10,6","14,2","15,3","1,46",A,A,SIM
MICRO COMPACTO,VOLKSWAGEN,up!,1.0­12V,move,M­5,S,E,F,0,0,0,B,0,89,"9,6","10,6","14,2","15,3","1,46",A,A,SIM
MICRO COMPACTO,VOLKSWAGEN,up!,1.0­12V,move (I- Motion),MTA­5,S,E,F,0,1,0,C,0,89,"9,4","10,6","14,0","15,8","1,47",A,A,SIM
MICRO COMPACTO,VOLKSWAGEN,up! TSI,1.0­12V,move (Rodas aro 14),M­5,S,E,F,0,0,0,B,0,86,"10,0","11,5","14,3","16,3","1,40",A,A,SIM
