"","Estado","Homicidio","HomicidioJov","HomicidioNegro","HomicidioNNeg","Mulher","MulherNegra","MulherNNegra","EstuproSUS","EstuproPolicia","Populacao"
"Acre","Acre",44.4,83.9,46.9,28.8,5.7,5.8,5.2,215,215,881935
"Alagoas","Alagoas",54.2,122.4,69.7,4.1,5.9,7,1.3,443,500,3337357
"Amapá","Amapá",48.7,101.4,59.4,7.8,4.4,4.8,2.3,1082,385,845731
"Amazonas","Amazonas",36.3,67.7,43,13.7,5.9,6.2,5.4,156,930,4114597
"Bahia","Bahia",46.9,114.3,52.4,15.6,5.7,5.9,3.4,1511,2709,14873064
"Ceará","Ceará",40.6,87.7,38.9,8.3,4.8,4.6,1,121,1538,9132078
"Distrito Federal","Distrito Federal",25.5,50.4,34.5,11.3,4.1,5.7,1.7,544,666,3015268
"Espírito Santo","Espírito Santo",32,71.5,42.3,9.3,5.2,6.6,2.2,270,188,4018650
"Goiás","Goiás",45.3,96.4,55.5,25.9,7.1,8.5,4.1,598,670,7018354
"Maranhão","Maranhão",34.6,65.1,37.9,19.6,4.5,4.8,3.3,434,995,7075181
"Mato Grosso","Mato Grosso",35.7,60.3,42.3,22.6,6.4,7.1,4.8,131,1614,3484466
"Mato Grosso do Sul","Mato Grosso do Sul",25,40.6,28.6,21,6,6.3,5.6,113,1458,2778986
"Minas Gerais","Minas Gerais",22,49.8,27.2,13.6,3.6,3.9,2.7,1168,3926,21168791
"Pará","Pará",50.8,98,57.7,16.9,7.2,8.3,1.7,230,3002,8602865
"Paraíba","Paraíba",33.9,70.5,46.5,5.8,5.2,6.7,1.9,137,376,4018127
"Paraná","Paraná",27.4,57.6,19,30.6,4.2,2.5,4.8,917,4164,11433957
"Pernambuco","Pernambuco",47.3,105.4,60.4,17.8,5.8,7.2,2.4,2100,1976,9557071
"Piauí","Piauí",21.8,45.2,24,7,3,3.4,0.8,559,653,3273227
"Rio de Janeiro","Rio de Janeiro",36.4,87.7,47.6,20.5,5,5.9,3.5,1588,4308,17264943
"Rio Grande do Norte","Rio Grande do Norte",53.4,125.6,70.5,16,5.7,6.5,2.8,4088,206, 3506853
"Rio Grande do Sul","Rio Grande do Sul",28.6,62.3,36.8,26.2,5.4,4.9,5.2,1928,4144,11377239
"Rondônia","Rondônia",39.3,53.3,41.5,33,6.2,5.6,6.6,875,790,1777225
"Roraima","Roraima",39.7,60.7,46.2,38.3,10,6.1,21.9,1460,234,605761
"Santa Catarina","Santa Catarina",14.2,27.2,22.4,12.6,3.1,5.1,2.7,300,3084,7164788
"São Paulo","São Paulo",10.9,19,13.5,9.1,2.2,2.4,2,356,10055,45919049
"Sergipe","Sergipe",64.7,142.7,79,15.2,5.2,6,1.8,861,541,2298696
"Tocantins","Tocantins",37.6,67.4,38.5,28.9,6,5.1,5.7,733,385,1572866
