;All groups of offences;All groups of offences;¬ Property theft;¬ Property theft;¬ Violence and maltreatment;¬ Violence and maltreatment;¬ Drug and alcohol offences;¬ Drug and alcohol offences;¬ Public order and integrity violations;¬ Public order and integrity violations;¬ Traffic offences;¬ Traffic offences;¬ Other offences (incl. Other offences for profit, Criminal damage and Sexual offences);¬ Other offences (incl. Other offences for profit, Criminal damage and Sexual offences);
Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;
2017-2018;;;;;;;;;;;;;;;
Total;318272;60.1;93877;17.7;37074;7.0;46315;8.7;35808;6.8;45351;8.6;59849;11.3;
The whole country;307958;58.2;86911;16.4;36644;6.9;46117;8.7;35567;6.7;45208;8.5;57511;10.9;
All counties;307080;58.0;86762;16.4;36573;6.9;46024;8.7;35470;6.7;45102;8.5;57150;10.8;
All municipalities;283848;53.6;80464;15.2;34063;6.4;42492;8.0;33274;6.3;41209;7.8;52348;9.9;
Østfold;18555;62.8;4263;14.4;2237;7.6;2968;10.0;2476;8.4;3015;10.2;3597;12.2;
Halden;3332;107.4;512;16.5;382;12.3;651;21.0;461;14.9;518;16.7;809;26.1;
Moss;2132;65.4;585;18.0;283;8.7;356;10.9;297;9.1;226;6.9;387;11.9;
Sarpsborg;3292;59.3;809;14.6;426;7.7;522;9.4;423;7.6;562;10.1;552;9.9;
Fredrikstad;4919;60.7;1333;16.5;574;7.1;791;9.8;627;7.7;814;10.1;781;9.6;
Hvaler;183;40.3;61;13.4;25;5.5;13;2.9;14;3.1;15;3.3;56;12.3;
Aremark;50;35.7;9;6.4;8;5.7;..;..;8;5.7;11;7.9;13;9.3;
Marker;461;129.2;20;5.6;15;4.2;123;34.5;58;16.3;92;25.8;155;43.5;
Rømskog;21;30.8;..;..;..;..;..;..;..;..;..;..;14;20.5;
Trøgstad;383;71.8;43;8.1;39;7.3;72;13.5;131;24.5;47;8.8;52;9.7;
Spydeberg;250;42.7;50;8.5;39;6.7;18;3.1;37;6.3;50;8.5;57;9.7;
Askim;868;54.9;203;12.8;127;8.0;92;5.8;157;9.9;105;6.6;186;11.8;
Eidsberg;694;60.8;133;11.7;92;8.1;96;8.4;99;8.7;127;11.1;148;13.0;
Skiptvet;110;28.7;25;6.5;14;3.7;14;3.7;13;3.4;19;5.0;26;6.8;
Rakkestad;377;46.0;76;9.3;45;5.5;38;4.6;37;4.5;88;10.7;94;11.5;
Råde;408;54.7;93;12.5;50;6.7;50;6.7;33;4.4;126;16.9;57;7.6;
Rygge;713;44.3;243;15.1;68;4.2;96;6.0;55;3.4;108;6.7;144;9.0;
Våler (Østfold);138;25.2;38;6.9;19;3.5;12;2.2;9;1.6;29;5.3;32;5.8;
Hobøl;227;40.4;32;5.7;32;5.7;24;4.3;19;3.4;81;14.4;39;6.9;
Unknown municipalities, Østfold;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Akershus;32422;52.8;9717;15.8;3469;5.6;4339;7.1;3811;6.2;5448;8.9;5639;9.2;
Vestby;820;46.9;243;13.9;96;5.5;111;6.3;84;4.8;142;8.1;146;8.3;
Ski;1800;58.3;637;20.6;204;6.6;189;6.1;156;5.1;385;12.5;230;7.4;
Ås;1044;52.0;368;18.3;94;4.7;129;6.4;80;4.0;214;10.7;160;8.0;
Frogn;697;44.3;136;8.6;90;5.7;66;4.2;57;3.6;238;15.1;111;7.1;
Nesodden;493;25.6;148;7.7;78;4.0;53;2.7;61;3.2;41;2.1;112;5.8;
Oppegård;1179;43.4;348;12.8;106;3.9;94;3.5;114;4.2;370;13.6;148;5.4;
Bærum;5188;41.4;2044;16.3;497;4.0;485;3.9;558;4.4;731;5.8;873;7.0;
Asker;2281;37.4;775;12.7;238;3.9;238;3.9;298;4.9;339;5.6;393;6.5;
Aurskog-Høland;540;32.9;111;6.8;82;5.0;59;3.6;52;3.2;81;4.9;157;9.6;
Sørum;572;31.8;118;6.6;66;3.7;70;3.9;45;2.5;146;8.1;129;7.2;
Fet;1018;87.3;126;10.8;188;16.1;69;5.9;38;3.3;133;11.4;466;40.0;
Rælingen;913;51.1;136;7.6;69;3.9;91;5.1;50;2.8;452;25.3;116;6.5;
Enebakk;400;36.5;76;6.9;68;6.2;36;3.3;37;3.4;73;6.7;112;10.2;
Lørenskog;1862;48.2;639;16.5;251;6.5;254;6.6;171;4.4;212;5.5;336;8.7;
Skedsmo;4294;79.3;1267;23.4;493;9.1;545;10.1;632;11.7;525;9.7;832;15.4;
Nittedal;760;32.3;181;7.7;81;3.4;85;3.6;56;2.4;223;9.5;135;5.7;
Gjerdrum;147;21.9;33;4.9;26;3.9;16;2.4;15;2.2;18;2.7;40;6.0;
Ullensaker;6081;166.3;1810;49.5;379;10.4;1485;40.6;1086;29.7;693;18.9;628;17.2;
Nes (Akershus);638;29.4;151;7.0;122;5.6;68;3.1;72;3.3;74;3.4;151;7.0;
Eidsvoll;1157;46.9;269;10.9;153;6.2;134;5.4;108;4.4;246;10.0;247;10.0;
Nannestad;451;34.1;83;6.3;84;6.3;59;4.5;33;2.5;93;7.0;100;7.6;
Hurdal;91;31.3;21;7.2;10;3.4;8;2.8;11;3.8;22;7.6;20;6.9;
Unknown municipalities, Akershus;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Oslo municipality;63021;93.6;23673;35.2;7410;11.0;6990;10.4;9006;13.4;4382;6.5;11562;17.2;
Hedmark;11169;56.7;2332;11.8;1124;5.7;1524;7.7;1080;5.5;2961;15.0;2150;10.9;
Kongsvinger;976;54.4;200;11.2;141;7.9;157;8.8;99;5.5;189;10.5;190;10.6;
Hamar;1947;62.9;641;20.7;225;7.3;355;11.5;198;6.4;148;4.8;381;12.3;
Ringsaker;1289;37.7;258;7.6;144;4.2;264;7.7;96;2.8;239;7.0;289;8.5;
Løten;765;100.5;62;8.1;41;5.4;45;5.9;35;4.6;507;66.6;76;10.0;
Stange;1006;48.7;156;7.6;96;4.6;131;6.3;154;7.5;260;12.6;209;10.1;
Nord-Odal;204;40.0;37;7.3;24;4.7;21;4.1;61;12.0;22;4.3;40;7.8;
Sør-Odal;305;38.7;67;8.5;39;4.9;41;5.2;21;2.7;84;10.7;55;7.0;
Eidskog;498;81.1;64;10.4;45;7.3;74;12.0;32;5.2;156;25.4;129;21.0;
Grue;198;41.8;36;7.6;24;5.1;17;3.6;16;3.4;50;10.5;56;11.8;
Åsnes;346;47.5;65;8.9;36;4.9;46;6.3;43;5.9;57;7.8;101;13.9;
Våler (Hedmark);231;62.8;54;14.7;30;8.2;19;5.2;25;6.8;51;13.9;54;14.7;
Elverum;1614;76.4;307;14.5;148;7.0;173;8.2;143;6.8;593;28.1;251;11.9;
Trysil;517;78.7;171;26.0;36;5.5;63;9.6;70;10.7;93;14.2;84;12.8;
Åmot;262;58.5;60;13.4;30;6.7;33;7.4;26;5.8;56;12.5;58;12.9;
Stor-Elvdal;169;67.9;15;6.0;16;6.4;18;7.2;8;3.2;84;33.7;30;12.0;
Rendalen;138;75.5;27;14.8;10;5.5;10;5.5;9;4.9;60;32.8;24;13.1;
Engerdal;84;64.9;16;12.4;6;4.6;5;3.9;12;9.3;11;8.5;36;27.8;
Tolga;53;34.1;8;5.2;..;..;8;5.2;..;..;9;5.8;21;13.5;
Tynset;302;53.9;58;10.3;22;3.9;31;5.5;22;3.9;130;23.2;40;7.1;
Alvdal;192;79.2;14;5.8;..;..;5;2.1;6;2.5;152;62.7;12;5.0;
Folldal;26;16.6;7;4.5;..;..;6;3.8;..;..;..;..;..;..;
Os (Hedmark);50;25.8;12;6.2;7;3.6;8;4.1;..;..;10;5.2;12;6.2;
Unknown municipalities, Hedmark;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Oppland;7664;40.4;1620;8.5;859;4.5;1136;6.0;690;3.6;1916;10.1;1444;7.6;
Lillehammer;1243;44.5;478;17.1;112;4.0;205;7.3;112;4.0;155;5.5;182;6.5;
Gjøvik;1510;49.3;359;11.7;179;5.8;302;9.9;146;4.8;237;7.7;289;9.4;
Dovre;158;59.8;17;6.4;7;2.6;6;2.3;13;4.9;89;33.7;27;10.2;
Lesja;127;62.3;10;4.9;6;2.9;5;2.5;..;..;87;42.7;15;7.4;
Skjåk;63;28.9;12;5.5;8;3.7;..;..;6;2.8;19;8.7;15;6.9;
Lom;54;23.2;13;5.6;6;2.6;..;..;..;..;16;6.9;13;5.6;
Vågå;84;23.1;18;4.9;9;2.5;6;1.6;6;1.6;27;7.4;20;5.5;
Nord-Fron;238;41.6;32;5.6;38;6.6;19;3.3;18;3.1;65;11.3;68;11.9;
Sel;275;46.8;32;5.4;31;5.3;25;4.3;24;4.1;116;19.8;48;8.2;
Sør-Fron;73;23.2;10;3.2;6;1.9;11;3.5;6;1.9;25;7.9;16;5.1;
Ringebu;149;33.5;40;9.0;16;3.6;6;1.3;9;2.0;52;11.7;29;6.5;
Øyer;268;52.2;83;16.2;16;3.1;19;3.7;8;1.6;111;21.6;32;6.2;
Gausdal;120;19.5;27;4.4;18;2.9;8;1.3;13;2.1;26;4.2;29;4.7;
Østre Toten;459;30.8;57;3.8;61;4.1;47;3.2;29;1.9;154;10.3;113;7.6;
Vestre Toten;584;43.9;78;5.9;69;5.2;100;7.5;36;2.7;168;12.6;134;10.1;
Jevnaker;254;37.5;41;6.0;39;5.8;60;8.9;25;3.7;46;6.8;45;6.6;
